ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)	NAO SE APLICA	135.62	2.50	1.20	27.78	1.55	1.19	0.35	0.01
ARROZ INTEGRAL	NAO SE APLICA	130.95	2.56	1.97	25.56	2.72	1.23	0.45	0.01
MILHO (EM GRAO)	CRU(A)	160.14	3.32	7.18	25.11	4.25	244.96	1.12	0.03
MILHO (EM GRAO)	COZIDO(A)	160.14	3.32	7.18	25.11	4.25	244.96	1.12	0.03
MILHO (EM GRAO)	GRELHADO(A)/BRASA/CHURRASCO	160.14	3.32	7.18	25.11	4.25	244.96	1.12	0.03
MILHO (EM GRAO)	ASSADO(A)	160.14	3.32	7.18	25.11	4.25	244.96	1.12	0.03
MILHO (EM GRAO)	REFOGADO(A)	160.14	3.32	7.18	25.11	4.25	0.00	1.12	0.03
MILHO (EM GRAO)	ENSOPADO	160.14	3.32	7.18	25.11	4.25	0.00	1.12	0.03
MILHO (EM GRAO)	NAO SE APLICA	160.14	3.32	7.18	25.11	4.25	244.96	1.12	0.03
CANJIQUINHA DE MILHO EM GRAO	CRU(A)	79.68	1.24	2.20	13.50	0.67	131.50	0.33	0.01
CANJIQUINHA DE MILHO EM GRAO	COZIDO(A)	62.95	1.24	0.31	13.50	0.67	5.01	0.03	0.00
CANJIQUINHA DE MILHO EM GRAO	ENSOPADO	79.68	1.24	2.20	13.50	0.67	5.01	0.33	0.01
CANJIQUINHA DE MILHO EM GRAO	MINGAU	62.95	1.24	0.31	13.50	0.67	5.01	0.03	0.00
CANJIQUINHA DE MILHO EM GRAO	SOPA	31.44	0.95	0.12	7.01	0.71	310.43	0.04	0.00
CANJIQUINHA DE MILHO EM GRAO	NAO SE APLICA	62.95	1.24	0.31	13.50	0.67	5.01	0.03	0.00
XEREM DE MILHO	NAO SE APLICA	62.95	1.24	0.31	13.50	0.67	5.01	0.03	0.00
AMENDOIM (EM GRAO) (IN NATURA)	NAO SE APLICA	567.00	25.80	49.24	16.13	8.50	18.00	6.83	0.00
ERVILHA EM GRAO	NAO SE APLICA	109.09	5.36	3.06	15.63	5.50	3.00	0.48	0.02
FAVA (EM GRAO)	NAO SE APLICA	85.62	4.80	3.17	10.10	3.60	41.00	0.56	0.01
MANGALO AMARGO EM GRAO	NAO SE APLICA	85.62	4.80	3.17	10.10	3.60	41.00	0.56	0.01
FEIJAO DE CORDA	NAO SE APLICA	121.33	3.17	3.13	20.32	5.00	4.00	0.53	0.02
FEIJAO VERDE	NAO SE APLICA	121.33	3.17	3.13	20.32	5.00	4.00	0.53	0.02
SEMENTE DE LINHACA	NAO SE APLICA	534.00	18.29	42.16	28.88	27.30	30.00	3.66	0.00
ANDU	NAO SE APLICA	97.41	5.84	1.79	15.05	3.78	5.20	0.30	0.01
GRAO DE BICO	NAO SE APLICA	188.48	8.86	5.36	27.42	7.60	7.00	0.70	0.02
LENTILHA	NAO SE APLICA	136.28	9.02	2.67	20.13	5.86	2.00	0.41	0.01
SOJA EM GRAO	NAO SE APLICA	196.34	16.64	11.61	9.93	6.00	1.00	1.71	0.01
FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)	NAO SE APLICA	97.41	5.84	1.79	15.05	3.78	5.20	0.30	0.01
QUIRERA NAO ESPECIFICADA	NAO SE APLICA	62.95	1.24	0.31	13.50	0.67	5.01	0.03	0.00
FEIJAO VERDE ORGANICO	NAO SE APLICA	121.33	3.17	3.13	20.32	5.00	4.00	0.53	0.02
FEIJAO ORGANICO	NAO SE APLICA	97.41	5.84	1.79	15.05	3.78	5.20	0.30	0.01
PIPOCA  LIGHT	NAO SE APLICA	445.94	10.77	17.78	64.85	12.07	1072.51	3.75	4.20
ARROZ  ORGANICO	NAO SE APLICA	135.62	2.50	1.20	27.78	1.55	1.19	0.35	0.01
ARROZ INTEGRAL ORGANICO	NAO SE APLICA	130.95	2.56	1.97	25.56	2.72	1.23	0.45	0.01
FEIJAO SOJA ORGANICO	NAO SE APLICA	196.34	16.64	11.61	9.93	6.00	1.00	1.71	0.01
QUINOA	NAO SE APLICA	135.47	4.37	4.33	19.83	2.16	4.27	0.60	0.01
BATATA-INGLESA	CRU(A)	86.00	1.71	0.10	20.01	2.05	5.00	0.03	0.00
BATATA-INGLESA	COZIDO(A)	86.00	1.71	0.10	20.01	2.05	5.00	0.03	0.00
BATATA-INGLESA	GRELHADO(A)/BRASA/CHURRASCO	86.00	1.71	0.10	20.01	2.05	5.00	0.03	0.00
BATATA-INGLESA	ASSADO(A)	86.00	1.71	0.10	20.01	2.05	5.00	0.03	0.00
BATATA-INGLESA	FRITO(A)	263.50	2.87	13.64	33.60	3.44	8.40	2.15	0.07
BATATA-INGLESA	REFOGADO(A)	111.74	1.71	3.01	20.01	2.05	5.00	0.48	0.02
BATATA-INGLESA	MOLHO VERMELHO	73.60	1.63	0.12	17.08	1.94	108.80	0.03	0.00
BATATA-INGLESA	MOLHO BRANCO	101.39	2.15	2.57	17.86	1.68	24.92	1.55	0.10
BATATA-INGLESA	AO ALHO E OLEO	263.50	2.87	13.64	33.60	3.44	8.40	2.15	0.07
BATATA-INGLESA	COM MANTEIGA/OLEO	111.74	1.71	3.01	20.01	2.05	5.00	0.48	0.02
BATATA-INGLESA	ENSOPADO	111.74	1.71	3.01	20.01	2.05	5.00	0.48	0.02
BATATA-INGLESA	SOPA	31.44	0.95	0.12	7.01	0.71	310.43	0.04	0.00
BATATA-INGLESA	NAO SE APLICA	86.00	1.71	0.10	20.01	2.05	5.00	0.03	0.00
MANDIOQUINHA SALSA (BATATA BAROA)	COZIDO(A)	76.00	1.37	0.14	17.72	2.50	27.00	0.03	0.00
MANDIOQUINHA SALSA (BATATA BAROA)	REFOGADO(A)	91.74	1.37	1.92	17.72	2.50	27.00	0.29	0.00
MANDIOQUINHA SALSA (BATATA BAROA)	ENSOPADO	91.74	1.37	1.92	17.72	2.50	27.00	0.29	0.00
MANDIOQUINHA SALSA (BATATA BAROA)	NAO SE APLICA	76.00	1.37	0.14	17.72	2.50	27.00	0.03	0.00
CENOURA AMARELA (BATATA BAROA)	NAO SE APLICA	76.00	1.37	0.14	17.72	2.50	27.00	0.03	0.00
BATATA DOCE	CRU(A)	76.00	1.37	0.14	17.72	2.50	27.00	0.03	0.00
BATATA DOCE	COZIDO(A)	76.00	1.37	0.14	17.72	2.50	27.00	0.03	0.00
BATATA DOCE	ASSADO(A)	90.00	2.01	0.15	20.71	3.30	36.00	0.03	0.00
BATATA DOCE	FRITO(A)	351.28	4.40	12.59	56.88	8.03	86.67	1.85	0.00
BATATA DOCE	REFOGADO(A)	91.74	1.37	1.92	17.72	2.50	27.00	0.29	0.00
BATATA DOCE	ENSOPADO	91.74	1.37	1.92	17.72	2.50	27.00	0.29	0.00
BATATA DOCE	NAO SE APLICA	76.00	1.37	0.14	17.72	2.50	27.00	0.03	0.00
INHAME	CRU(A)	100.00	1.71	0.12	23.40	1.80	8.00	0.03	0.00
INHAME	COZIDO(A)	100.00	1.71	0.12	23.40	1.80	8.00	0.03	0.00
INHAME	ASSADO(A)	90.00	2.01	0.15	20.71	3.30	36.00	0.03	0.00
INHAME	FRITO(A)	115.74	1.71	1.90	23.40	1.80	8.00	0.28	0.00
INHAME	REFOGADO(A)	115.74	1.71	1.90	23.40	1.80	8.00	0.28	0.00
INHAME	ENSOPADO	115.74	1.71	1.90	23.40	1.80	8.00	0.28	0.00
INHAME	SOPA	31.44	0.95	0.12	7.01	0.71	310.43	0.04	0.00
